1.658375004430611976e-01 1.000000000000000000e+00
1.946251654479918547e-01 1.250000000000000000e+00
2.234341112070214463e-01 1.500000000000000000e+00
2.521207623271811138e-01 1.750000000000000000e+00
2.722391978082902564e-01 2.000000000000000000e+00
2.860510131107190102e-01 2.250000000000000000e+00
3.041662068363064630e-01 2.500000000000000000e+00
3.215217594675296997e-01 2.750000000000000000e+00
3.324341298309644865e-01 3.000000000000000000e+00
3.397887250122258451e-01 3.250000000000000000e+00
3.504796833651042665e-01 3.500000000000000000e+00
3.613375695208755900e-01 3.750000000000000000e+00
3.68e-1 4.0
