1.658375135505606168e-01 1.000000000000000000e+00
1.956893148809789318e-01 1.250000000000000000e+00
2.223381460110028796e-01 1.500000000000000000e+00
2.508536909898144152e-01 1.75
2.713537724167564003e-01 2.000000000000000000e+00
2.841559258813565192e-01 2.250000000000000000e+00
3.028942082485375775e-01 2.500000000000000000e+00
3.222991039968038374e-01 2.750000000000000000e+00
3.329858507449904303e-01 3.000000000000000000e+00
3.396843603348533303e-01 3.250000000000000000e+00
3.505716967467962797e-01 3.500000000000000000e+00
3.618510305363678570e-01 3.750000000000000000e+00
3.680510305363678570e-01 4.00000000000000000e+00
