model,ms,KB,mAP
assine2022b_11,66.00978374481201,6912.0,14.5
assine2022b_12,64.69147205352783,13824.0,27.7
assine2022b_13,65.56069850921631,20736.0,32.0
assine2022b_14,66.3665771484375,27648.0,34.3
assine2022b_21,134.34014320373535,6912.0,16.5
assine2022b_22,132.53977298736572,13824.0,29.4
assine2022b_23,131.13653659820557,20736.0,34.1
assine2022b_24,137.38269805908203,27648.0,36.1
assine2022b_31,205.52258491516113,6912.0,16.4
assine2022b_32,201.2657642364502,13824.0,29.4
assine2022b_33,201.94554328918457,20736.0,34.2
assine2022b_34,198.11251163482666,27648.0,36.4
assine2022b_41,267.8874969482422,6912.0,16.6
assine2022b_42,266.0313129425049,13824.0,29.7
assine2022b_43,267.6538944244385,20736.0,34.6
assine2022b_44,262.70134449005127,27648.0,36.8
lee2021_3,267.27654933929443,30500.0,36.8
lee2021_5,341.2351369857788,16200.0,36.7
lee2021_7,407.3681592941284,8800.0,36.5
lee2021_10,456.3683271408081,4700.0,36.4
matsubara2022_1,1264.973759651184,180000.0,36.1
matsubara2022_2,1264.8069620132446,90000.0,35.9
matsubara2022_3,1265.179681777954,23000.0,34.0
matsubara2022_4,1264.0254259109497,15000.0,29.5
matsubara2022_5,1263.957953453064,8000.0,26.0
assine2022a_25,1403.532600402832,110000.0,31.65
assine2022a_50,2239.588403701782,220000.0,37.84
assine2022a_75,2959.262490272522,330000.0,39.88
assine2022a_100,4036.0231161117554,440000.0,39.55
