1.646077304088218451e-01 1.000000000000000000e+00
1.934077943620373108e-01 1.250000000000000000e+00
2.237768903220364036e-01 1.500000000000000000e+00
2.527187089235599093e-01 1.750000000000000000e+00
2.707098487787771290e-01 2.000000000000000000e+00
2.818688917372656477e-01 2.250000000000000000e+00
3.020462966391474491e-01 2.500000000000000000e+00
3.185131560103882098e-01 2.750000000000000000e+00
3.284246760070540505e-01 3.000000000000000000e+00
3.379894639916062316e-01 3.250000000000000000e+00
3.454643067208383878e-01 3.500000000000000000e+00
3.558910201009212182e-01 3.750000000000000000e+00
3.61e-1 4.0
