1.635711389122455617e-01 1.000000000000000000e+00
1.922709979060939489e-01 1.250000000000000000e+00
2.209092061133272333e-01 1.500000000000000000e+00
2.514958726474041950e-01 1.750000000000000000e+00
2.672345775146089952e-01 2.000000000000000000e+00
2.803284903724000410e-01 2.250000000000000000e+00
3.010648108360394204e-01 2.500000000000000000e+00
3.189475061980739379e-01 2.750000000000000000e+00
3.306474817813438438e-01 3.000000000000000000e+00
3.373067986415850261e-01 3.250000000000000000e+00
3.470596878413167441e-01 3.500000000000000000e+00
3.579330395974525958e-01 3.750000000000000000e+00
3.64e-1 4.0
